"","area_id","cluster","f_dairy_eggs_weight","f_oils_sauces_weight","f_fish_meat_weight","f_fruit_veg_weight","f_grains_weight","f_readymade_weight","f_sweets_weight"
"3183","E01003712","4",0.08673174,0.03861389,0.1380098,0.3408666,0.2203899,0.05259831,0.1227898
"3184","E01003713","4",0.09473398,0.04444387,0.09878362,0.3248283,0.2532408,0.05346258,0.1305069
"3185","E01003714","4",0.08790883,0.05159218,0.08012895,0.312413,0.2852781,0.04855325,0.1341257
"3186","E01003715","4",0.08036275,0.03970951,0.07712997,0.3173802,0.3059385,0.03907094,0.1404081
"3187","E01003716","4",0.08109318,0.05005043,0.113431,0.323246,0.264399,0.03918236,0.128598
"3188","E01003718","4",0.09453373,0.03970696,0.09469988,0.3491685,0.2585186,0.04424749,0.1191248
"3189","E01003719","4",0.08448155,0.03737246,0.09469201,0.3661614,0.2561554,0.03585801,0.1252792
"3190","E01003720","4",0.06677798,0.04510942,0.1342754,0.3085704,0.2846779,0.06131616,0.09927283
"3191","E01003721","4",0.08681819,0.04089034,0.1269948,0.3471724,0.2219886,0.0607225,0.1154131
"3192","E01003723","3",0.08847732,0.05070098,0.1522205,0.3603917,0.1921815,0.04952751,0.1065005
"3193","E01003724","3",0.1031648,0.04667578,0.154798,0.3243147,0.2010687,0.05483988,0.1151382
"3194","E01003725","3",0.0963681,0.04858349,0.129051,0.3574203,0.1972394,0.05530102,0.1160368
