"","area_id","f_dairy_eggs","f_fish_meat","f_fruit_veg","f_grains","f_oils_sauces","f_readymade","f_sweets","f_dairy","f_eggs","f_fats_oils","f_sauces","f_fish","f_meat_red","f_poultry"
"1","E01000001",0.166299685444667,0.0886474120674864,0.380168716042322,0.118344295110094,0.0338575922219045,0.0662281955962253,0.146454103517301,0.152859593937661,0.013440091507006,0.0252502144695453,0.00860737775235916,0.0250214469545325,0.0490992279096368,0.0145267372033171
"2","E01000002",0.13933686573035,0.0951896156782896,0.412457483976955,0.116777343298087,0.0309123302251325,0.0715426085749323,0.133783752516254,0.126171359818598,0.0131655059117518,0.0198986556838428,0.0110136745412897,0.0275573243249497,0.0476410837825956,0.0199912075707443
"3","E01000003",0.156757909238515,0.0888754038672855,0.321322552605251,0.143063323110229,0.0320141702064848,0.0871205287586309,0.170846112213603,0.146327062798288,0.0104308464402276,0.0239450248470635,0.00806914535942138,0.0167123152870943,0.0572712512095518,0.0148918373706395
"4","E01000005",0.140408428454953,0.0976737668161435,0.33539288626172,0.147835558499796,0.0432888300040766,0.0649268752547901,0.17047365470852,0.127968304117407,0.0124401243375459,0.0281033428454953,0.0151854871585813,0.0237336934366082,0.0523975743986955,0.0215424989808398
"5","E01000006",0.1319291289803,0.0883905340106554,0.302168256721596,0.155891463263536,0.0505513567092058,0.0553339115351258,0.215735348779581,0.115425597819353,0.0165035311609466,0.0365010531532648,0.014050303555941,0.0177673150786767,0.0503283360178417,0.020294882914137
"6","E01000007",0.129001020701929,0.0841948232091915,0.296369965191447,0.180585725876102,0.0499882226700515,0.0604307885576696,0.199429453793609,0.114240100499882,0.0147609202020466,0.0373995655473841,0.0125886571226674,0.0200476327566804,0.0456175246669633,0.0185296657855479
"7","E01000008",0.152181796204521,0.0951287320198235,0.231596760546356,0.178532575849148,0.06273419557597,0.0679318264233047,0.211894113380878,0.140275595310045,0.011906200894476,0.0465973649220355,0.0161368306539345,0.0191587090535477,0.057234376888674,0.0187356460776018
"8","E01000009",0.133199127663144,0.0810602247944976,0.287434994128502,0.170843818151317,0.0484817983559805,0.0731085388357658,0.205871498070793,0.119006878040597,0.0141922496225466,0.037544036235531,0.0109377621204496,0.0165408488508639,0.0439523569870827,0.0205670189565509
"9","E01000010",0.117892649322861,0.104689090102549,0.297915090154737,0.163217910915116,0.0508832815802521,0.0688359470813872,0.196566030843097,0.10455862014978,0.0133340291730814,0.0332698379563187,0.0176134436239334,0.0263288364689612,0.049891709939201,0.0284685436943872
"10","E01000011",0.123835162559536,0.0930489404293505,0.254365983295368,0.175950852488438,0.0535307517084282,0.0800027610961552,0.219265548422724,0.111410229861255,0.0124249326982812,0.0399323531441982,0.01359839856423,0.0253675709256575,0.0506661144474356,0.0170152550562573
"11","E01000012",0.127793108500818,0.0880607585044812,0.306136902000049,0.169698893745879,0.0487679796820435,0.0654472636694425,0.194095093897287,0.114972282595424,0.0128208259053945,0.0348482258419009,0.0139197538401426,0.0196830203423771,0.0478644167134729,0.0205133214486312
"12","E01000013",0.10916179337232,0.114116309291748,0.270955165692008,0.169590643274854,0.0471085120207927,0.0994964262508122,0.189571150097466,0.0978719948018194,0.0112897985705003,0.0311890838206628,0.01591942820013,0.0269655620532814,0.0662768031189084,0.0208739441195582
"13","E01000014",0.0994954467142506,0.122384937238494,0.288087619985233,0.158134383460497,0.0811592419394536,0.0537779965542702,0.196960374107802,0.0879276396751169,0.0115678070391336,0.0625769136106326,0.0185823283288211,0.0313807531380753,0.065530396258922,0.0254737878414964
"14","E01000015",0.0878310425745893,0.0910157559503855,0.259302715387194,0.208095876634261,0.042574589339591,0.119426751592357,0.191753268521623,0.0785283271873952,0.0093027153871941,0.0281595709017767,0.0144150184378143,0.0196949379818974,0.0472678511565538,0.0240529668119343
"15","E01000016",0.108143651997977,0.11866464339909,0.332220536165908,0.148204350025291,0.0426909458775923,0.078199291856348,0.171876580677795,0.0975214972180071,0.0106221547799696,0.0335862417804755,0.00910470409711685,0.0308548305513404,0.064339908952959,0.0234699038947901
"16","E01000017",0.128049535603715,0.100928792569659,0.326934984520124,0.155479876160991,0.033250773993808,0.069969040247678,0.185386996904025,0.119071207430341,0.00897832817337461,0.0242105263157895,0.00904024767801858,0.0326315789473684,0.0519504643962848,0.0163467492260062
"17","E01000018",0.128249160877371,0.0771992818671454,0.256420263835766,0.182733588322535,0.0455077667629381,0.0780579189758801,0.231832019358364,0.118023573491531,0.0102255873858403,0.0321598626180626,0.0133479041448755,0.0190461322301148,0.0424635079228788,0.0156896417141519
"18","E01000019",0.0984356854976433,0.0989821709133137,0.234988728738302,0.196256574902657,0.0508231436573536,0.0950884623266617,0.225425233964069,0.089623608169957,0.00881207732768632,0.0379807363890976,0.012842407268256,0.0202199603798074,0.064621900403033,0.0141403101304734
"19","E01000020",0.12574670448857,0.103520774236609,0.288569998331387,0.161655264475221,0.0580010011680294,0.0625396295678291,0.199966627732354,0.113832804939096,0.0119138995494744,0.039145669948273,0.0188553312197564,0.0150842649758051,0.0658768563323878,0.0225596529284165
"20","E01000021",0.122648659822228,0.0746227520154344,0.282367532557018,0.196237855715565,0.0485082339971061,0.0833046234410529,0.192310342451595,0.113346654723351,0.00930200509887687,0.0355543306001516,0.0129539033969545,0.0128849996554813,0.0432026459036726,0.0185351064562806
"21","E01000022",0.121733391992961,0.112670479542455,0.261020677518698,0.168719753629564,0.0500659920809503,0.0887373515178179,0.197052353717554,0.110998680158381,0.0107347118345798,0.0264408271007479,0.0236251649802024,0.0251209854817422,0.0674879014518258,0.0200615926088869
