"","area_id","f_beer","f_dairy","f_eggs","f_fats_oils","f_fish","f_fruit_veg","f_grains","f_meat_red","f_poultry","f_readymade","f_sauces","f_soft_drinks","f_spirits","f_sweets","f_tea_coffee","f_water","f_wine","f_alcoholic_drinks","f_non_alcoholic_drinks","f_dairy_eggs","f_oils_sauces","f_fish_meat"
"1","E01000001",0.0146924977246132,0.139006631127292,0.012222077753218,0.022961903523599,0.0227538681575868,0.345715771681186,0.107619295280198,0.0446495904303732,0.0132102457417761,0.0602262384605383,0.00782733064620986,0.015472630347159,0.00279547523078923,0.133181640878949,0.00481081783903264,0.0180860746326876,0.0347679105447926,0.052255883500195,0.0383695228188792,0.15122870888051,0.0307892341698089,0.0806137043297361
"2","E01000002",0.0194172758159168,0.112282507978997,0.0117162565633687,0.017708226088747,0.0245238340368578,0.367054463090703,0.103922577988263,0.0423967878101513,0.0177905899310203,0.0636672500772161,0.0098012972305158,0.0180788633789766,0.00308864408524658,0.119056934005971,0.00496242149696283,0.0238855142592402,0.0406465561618449,0.0631524760630083,0.0469267991351797,0.123998764542366,0.0275095233192628,0.0847112117780294
"3","E01000003",0.0308226488124884,0.126961991091884,0.00905041765685256,0.0207761160047244,0.0145005905539823,0.278798400523672,0.124130178020008,0.0496919158140395,0.0129210365289656,0.0755909097377371,0.0070012664892633,0.0234513966957437,0.00362870519260598,0.148236164672065,0.00435444623112718,0.0237075405916924,0.0463762753831486,0.080827629388243,0.0515133835185633,0.136012408748737,0.0277773824939877,0.0771135428969875
"4","E01000005",0.0164566088887607,0.115882675280478,0.0112652496178583,0.0254491967813573,0.0214922273815361,0.303717590055663,0.133873619242638,0.0474490237360482,0.0195079745046578,0.0587950278314539,0.0137513338909238,0.024878147261558,0.00271681135177227,0.154373720185735,0.0050471548467107,0.0285120987511897,0.0168315403916592,0.0360049606321922,0.0584374008594584,0.127147924898336,0.039200530672281,0.0884492256222421
"5","E01000006",0.00819690388684709,0.103753201915581,0.0148346140995657,0.032809889742733,0.015970598062145,0.271611538033188,0.140126962913465,0.0452388907450718,0.0182425659873037,0.0497382782046999,0.012629468760441,0.0393807773694175,0.00267290344136318,0.193919144670899,0.0068381779708208,0.0387348257044214,0.00530125849203698,0.0161710658202472,0.0849537810446598,0.118587816015146,0.0454393585031741,0.0794520547945206
"6","E01000007",0.00770492171529977,0.0980524294089898,0.0126693173394434,0.032100096592313,0.0172069097198823,0.254374733247973,0.154996967450637,0.0391535817777478,0.0159040366601523,0.0518678257744232,0.0108048610643125,0.0682211290068962,0.00496439562414359,0.171170564054182,0.00611002538356134,0.0484983264820181,0.00619987869802547,0.0188691960374688,0.122829480872476,0.110721746748433,0.0429049576566256,0.0722645281577824
"7","E01000008",0.0107687551525144,0.119589859851608,0.0101504534212696,0.0397258862324815,0.0163334707337181,0.197444352844188,0.152205276174773,0.0487943116240726,0.0159727947238252,0.0579142621599341,0.0137572135201979,0.0567807089859852,0.00437963726298434,0.180647155812036,0.00587386644682605,0.0467848309975268,0.0228771640560594,0.0380255564715581,0.109439406430338,0.129740313272877,0.0534830997526793,0.0811005770816158
"8","E01000009",0.00863091707201329,0.105202277850279,0.0125459722386997,0.0331889903903191,0.0146221378573971,0.254093012219718,0.151026219005813,0.0388539565784791,0.0181812789180211,0.0646280697591648,0.00966899988136196,0.0441036896428995,0.00421165025507178,0.181990746233242,0.00501245699371218,0.0490864871277732,0.00495313797603512,0.0177957053031202,0.0982026337643849,0.117748250088979,0.0428579902716811,0.0716573733538973
"9","E01000010",0.0110277797247728,0.0936193079600944,0.0119389733884722,0.0297890236209434,0.0235742155557113,0.266746104062989,0.146141445293334,0.0446718534613677,0.0254900586434896,0.0616340739702343,0.0157706595640289,0.03116749608654,0.00768673629120815,0.176000560734562,0.00658863110674984,0.0423821873320717,0.00577089320342983,0.0244854092194108,0.0801383145253616,0.105558281348567,0.0455596831849723,0.0937361276605687
"10","E01000011",0.0189050211736237,0.0976406533575318,0.0108892921960073,0.0349969751966122,0.0222323049001815,0.222928009679371,0.154204476709014,0.0444041137326074,0.0149122807017544,0.0701149425287356,0.0119177253478524,0.0416515426497278,0.00562613430127042,0.19216575922565,0.00483968542044767,0.040411373260738,0.0121597096188748,0.0366908650937689,0.0869026013309135,0.108529945553539,0.0469147005444646,0.0815486993345433
"11","E01000012",0.0114909572121747,0.103837670930745,0.0115791795324217,0.0314733127481253,0.017776797529775,0.276488751654168,0.15326422584914,0.043228936921041,0.0185266872518747,0.0591089545655051,0.0125716806352007,0.0315835906484341,0.00319805910895457,0.175297750330834,0.00584472871636524,0.0378032642258491,0.00692545213939127,0.0216144684605205,0.0752315835906484,0.115416850463167,0.044044993383326,0.0795324217026908
"12","E01000013",0.0162323793250748,0.0857895486259433,0.00989605581660259,0.0273387441264417,0.023636622525986,0.237505339598462,0.148654421187527,0.0580948312686886,0.0182970240637904,0.0872134415491955,0.0139541506478713,0.044923821728606,0.0066211020931226,0.166168304143528,0.00726185390858607,0.0418624519436138,0.00654990744695999,0.0294033888651573,0.0940481275808059,0.0956856044425459,0.041292894774313,0.100028477858465
"13","E01000014",0.0146962769431744,0.0777814064881341,0.010232963204877,0.0553559764859569,0.0277596342259961,0.254844328325713,0.139886784236882,0.0579686479425212,0.0225342913128674,0.047572392771609,0.0164380579142173,0.0407141301981276,0.00419116046157196,0.174232527759634,0.00375571521881123,0.0424014805138254,0.00963422599608099,0.0285216634008273,0.0868713259307642,0.0880143696930111,0.0717940344001742,0.108262573481385
