"","area_id","f_dairy_weight","f_eggs_weight","f_fats_oils_weight","f_fish_weight","f_fruit_veg_weight","f_grains_weight","f_meat_red_weight","f_poultry_weight","f_readymade_weight","f_sauces_weight","f_sweets_weight","f_dairy_eggs_weight","f_oils_sauces_weight","f_fish_meat_weight"
"1","E01000001",0.0797849375131499,0.0256882279517573,0.0224439824937773,0.0224092058920961,0.437164912676019,0.155706294130861,0.0536950066281946,0.0298734326819432,0.0739807824233639,0.0102866400335416,0.088966577575296,0.105473165464907,0.0327306225273189,0.105977645202234
"2","E01000002",0.0826087802445329,0.0297316662088657,0.0156998322288918,0.0208039109473204,0.450342201061993,0.134855263340141,0.0463851498868057,0.0398275094534764,0.0878892391273008,0.0129533323625935,0.0789031151380789,0.112340446453399,0.0286531645914853,0.107016570287603
"3","E01000003",0.0697335479802073,0.0196992034762483,0.0273027992315871,0.0150820218072334,0.383392724144085,0.178480978912852,0.0612091721301783,0.0338597032225589,0.0962511985444284,0.0100326448077133,0.104956005742908,0.0894327514564556,0.0373354440393004,0.110150897159971
"4","E01000005",0.07415181755599,0.0268637144545911,0.0222150310438367,0.0212176869441604,0.388065922022159,0.190179068829777,0.0525118095767861,0.0450292993528633,0.0665843738458962,0.0151508439187458,0.0980304324551948,0.101015532010581,0.0373658749625825,0.11875879587381
"5","E01000006",0.0499432431872298,0.0396845250647796,0.029210284059903,0.0160625485221561,0.355372850147908,0.243765671765662,0.0501934531446417,0.0473052440480606,0.0367752055085355,0.0111972546289508,0.120489719922173,0.0896277682520094,0.0404075386888538,0.113561245714858
"6","E01000007",0.055048117829378,0.0354352747045635,0.0258652384027645,0.0165267447934907,0.345784719448029,0.279954580332641,0.0404220928582113,0.0406932134725908,0.0367580936695356,0.0128263275968812,0.110685596891915,0.0904833925339414,0.0386915659996457,0.0976420511242928
"7","E01000008",0.0654684368727737,0.0294689684881451,0.0305455323745443,0.0123302424540821,0.306450256140185,0.277067059026488,0.0528229608084099,0.0475544254647339,0.0393677586550178,0.0169894570207475,0.121934902694873,0.0949374053609189,0.0475349893952918,0.112707628727226
"8","E01000009",0.0510613377204455,0.0317425771694928,0.0296904049013841,0.0132702354991789,0.321148511478288,0.317328496376788,0.0375705231103347,0.0335976667321682,0.0517434512317898,0.0102177962273685,0.102628999552761,0.0828039148899383,0.0399082011287526,0.0844384253416818
"9","E01000010",0.0560133569120571,0.0291531056750303,0.0240477332317119,0.0195694439892077,0.344630662494581,0.253258854166484,0.0479903987114732,0.0580196396957137,0.0470283428156732,0.0148503425269044,0.105438119781163,0.0851664625870873,0.0388980757586163,0.125579482396395
"10","E01000011",0.0578999593724808,0.0296429875458483,0.0319671057688222,0.0241785978953385,0.316940757588921,0.258266968452869,0.0535841525951121,0.0350597722067712,0.06398679018286,0.0127179927031858,0.115754915687791,0.0875429469183292,0.0446850984720081,0.112822522697222
"11","E01000012",0.0540257339841934,0.031306794861598,0.0261773180373708,0.0162167094107828,0.349952690404917,0.278224237322484,0.0436291682181179,0.0410007600063187,0.0408664856950725,0.012390577390893,0.106209524668252,0.0853325288457913,0.0385678954282638,0.100846637635219
"12","E01000013",0.0674307000129645,0.0251767145001123,0.0301779122480261,0.0188878710551012,0.33878686542702,0.212745611681057,0.0541944918534469,0.0500866699993758,0.0767478983392118,0.0144124552978604,0.111352809585825,0.0926074145130768,0.0445903675458866,0.123169032907924
"13","E01000014",0.0482430520797375,0.0291960994114955,0.0356473700449762,0.0199430705709711,0.351861361591857,0.237752346551251,0.0694433931159726,0.054793644300452,0.0302927135033794,0.0153157222940996,0.107511226535808,0.077439151491233,0.0509630923390758,0.144180107987396
"14","E01000015",0.0508886150307368,0.0231968653212377,0.0298241265520884,0.0151730844392016,0.318484835186336,0.232100372971673,0.0476867446810932,0.0526624303743379,0.10363781599804,0.0151556722800781,0.111189437165177,0.0740854803519746,0.0449797988321665,0.115522259494633
"15","E01000016",0.0607977642976061,0.0233826829481436,0.0291321458662515,0.0217412241824488,0.391620549948294,0.175468700267573,0.0595400910704608,0.0565886722195078,0.0569923267641403,0.00890236046232319,0.115833481973252,0.0841804472457497,0.0380345063285747,0.137869987472417
"16","E01000017",0.0464126943066978,0.021029764405417,0.0190683508558444,0.0302477684970331,0.350264754543042,0.289581668038154,0.0474438222015355,0.0374389075217159,0.0502789175691677,0.00955741391454215,0.098675938146851,0.0674424587121147,0.0286257647703866,0.115130498220285
"17","E01000018",0.0568370135171977,0.0258528306764685,0.0295323195723347,0.0185497461013668,0.333132443057898,0.251735417836838,0.0436029193293204,0.037281366955262,0.0577625933553493,0.0131798570665542,0.13253349253141,0.0826898441936662,0.0427121766388889,0.0994340323859492
"18","E01000019",0.0482722619427838,0.0203017120772832,0.0387974767794947,0.0179408332288194,0.273542494997568,0.294347337439916,0.0594560109197907,0.0347927400735423,0.0727043526145793,0.0147134508342759,0.125131329091946,0.068573974020067,0.0535109276137706,0.112189584222152
"19","E01000020",0.0590303445040955,0.0283138391000293,0.0315323782042991,0.0120972982261225,0.3618986073003,0.206870833816862,0.0636956144433191,0.0452741167333947,0.0517151828065962,0.0175295453138624,0.122042239551119,0.0873441836041248,0.0490619235181615,0.121067029402836
"20","E01000021",0.0607594484561033,0.0240769669394087,0.030721929267422,0.0137578374134424,0.346168520933785,0.244998293170488,0.0400689124274723,0.0593194644793599,0.0521129066469963,0.0132097682950131,0.114805951970509,0.084836415395512,0.043931697562435,0.113146214320275
