"","Category","Minimum","First quartile","Median","Mean","Third quartile","Maximum"
"1","f_dairy_eggs_weight","0.0180780546886408","0.0816642354201296","0.0899207885228289","0.0910659049469529","0.09980061","0.253268173983231"
"2","f_fruit_veg_weight","0.1359782","0.333738476935508","0.355060596288606","0.356211642404433","0.3776036","0.600570864872754"
"3","f_grains_weight","0.107087543427725","0.187197318258522","0.2098849","0.217699535693217","0.238034536609134","0.722506906037721"
"4","f_oils_sauces_weight","0.00707131788145298","0.0388750004242548","0.0436914800903777","0.0434993112353813","0.04815926","0.142840612401526"
"5","f_sweets_weight","0.0349880012840353","0.0952573313626228","0.104473146498681","0.108527612690205","0.116495128715383","0.327050639337934"
"6","f_fish_meat_weight","0.0323361056088014","0.110829787389828","0.126641540059208","0.124019434270822","0.1397123","0.290939035060367"
"7","f_readymade_weight","0.01650893","0.0476875353201275","0.0566166310393444","0.0589765586555336","0.0675267750092893","0.189268476636465"
